hostuser root
hostpass root
search_board_type Mt.Snow
Pseudo-terminal will not be allocated because stdin is not a terminal.
   1 | 04/01/2021 | 20:19:29 | Event Logging Disabled #0xe1 | Log area reset/cleared | Asserted
   2 | 04/01/2021 | 20:20:04 | System Event | OEM System boot event | Asserted
   3 | 04/01/2021 | 20:20:13 | OS Boot #0x22 | boot completed - device not specified | Asserted
   4 | 04/01/2021 | 20:41:48 | Power Unit #0xff | Power off/down | Asserted
   5 | 04/01/2021 | 20:47:36 | OEM record c1 | 000000 | 06980a260d66
   6 | 04/01/2021 | 20:47:42 | OEM record c1 | 000000 | 06980a260d66
   7 | 04/01/2021 | 20:47:48 | OEM record c1 | 000000 | 06980a260d66
   8 | 04/01/2021 | 20:48:09 | OEM record c1 | 000000 | 06980a260d66
   9 | 04/01/2021 | 20:49:21 | System Event | Timestamp Clock Sync | Asserted
   a | 04/01/2021 | 20:49:21 | System Event #0xff | Timestamp Clock Sync | Asserted
   b | 04/26/2021 | 07:50:15 | System Event #0xff | Timestamp Clock Sync | Asserted
   c | 04/26/2021 | 07:50:16 | System Event | Timestamp Clock Sync | Asserted
   d | 04/26/2021 | 07:51:04 | System Event | OEM System boot event | Asserted
   e | 04/26/2021 | 07:51:13 | OS Boot #0x22 | boot completed - device not specified | Asserted
   f | 04/26/2021 | 07:52:18 | Power Unit #0xff | Power off/down | Asserted
  10 | 04/26/2021 | 07:52:40 | OEM record c1 | 000000 | 06980a260d66
  11 | 04/26/2021 | 07:52:46 | OEM record c1 | 000000 | 06980a260d66
  12 | 04/26/2021 | 07:52:53 | OEM record c1 | 000000 | 06980a260d66
  13 | 04/26/2021 | 07:53:13 | OEM record c1 | 000000 | 06980a260d66
  14 | 04/26/2021 | 07:54:24 | System Event | OEM System boot event | Asserted
  15 | 04/26/2021 | 07:54:34 | OS Boot #0x22 | boot completed - device not specified | Asserted
  16 | 04/26/2021 | 07:55:39 | Power Unit #0xff | Power off/down | Asserted
  17 | 04/26/2021 | 07:57:18 | OEM record c1 | 000000 | 06980a260d66
  18 | 04/26/2021 | 07:57:24 | OEM record c1 | 000000 | 06980a260d66
  19 | 04/26/2021 | 07:57:29 | OEM record c1 | 000000 | 06980a260d66
  1a | 04/26/2021 | 07:57:46 | OEM record c1 | 000000 | 06980a260d66
  1b | 04/26/2021 | 07:58:56 | System Event | OEM System boot event | Asserted
  1c | 04/26/2021 | 07:59:06 | OS Boot #0x22 | boot completed - device not specified | Asserted
  1d | 04/26/2021 | 08:00:07 | Power Unit #0xff | Power off/down | Asserted
  1e | 04/26/2021 | 08:00:25 | OEM record c1 | 000000 | 06980a260d66
  1f | 04/26/2021 | 08:00:33 | OEM record c1 | 000000 | 06980a260d66
  20 | 04/26/2021 | 08:00:40 | OEM record c1 | 000000 | 06980a260d66
  21 | 04/26/2021 | 08:00:58 | OEM record c1 | 000000 | 06980a260d66
  22 | 04/26/2021 | 08:02:12 | System Event | OEM System boot event | Asserted
  23 | 04/26/2021 | 08:02:22 | OS Boot #0x22 | boot completed - device not specified | Asserted
  24 | 04/26/2021 | 08:03:25 | Power Unit #0xff | Power off/down | Asserted
  25 | 04/26/2021 | 08:03:44 | OEM record c1 | 000000 | 06980a260d66
  26 | 04/26/2021 | 08:03:51 | OEM record c1 | 000000 | 06980a260d66
  27 | 04/26/2021 | 08:03:57 | OEM record c1 | 000000 | 06980a260d66
  28 | 04/26/2021 | 08:04:18 | OEM record c1 | 000000 | 06980a260d66
  29 | 04/26/2021 | 08:05:29 | System Event | OEM System boot event | Asserted
  2a | 04/26/2021 | 08:05:39 | OS Boot #0x22 | boot completed - device not specified | Asserted
  2b | 04/26/2021 | 08:07:58 | Power Unit #0xff | Power off/down | Asserted
  2c | 04/26/2021 | 08:08:22 | OEM record c1 | 000000 | 06980a260d66
  2d | 04/26/2021 | 08:08:29 | OEM record c1 | 000000 | 06980a260d66
  2e | 04/26/2021 | 08:08:35 | OEM record c1 | 000000 | 06980a260d66
  2f | 04/26/2021 | 08:08:56 | OEM record c1 | 000000 | 06980a260d66
  30 | 04/26/2021 | 08:10:06 | System Event | OEM System boot event | Asserted
  31 | 04/26/2021 | 08:10:16 | OS Boot #0x22 | boot completed - device not specified | Asserted
  32 | 04/26/2021 | 08:11:20 | Power Unit #0xff | Power off/down | Asserted
  33 | 04/26/2021 | 08:11:39 | OEM record c1 | 000000 | 06980a260d66
  34 | 04/26/2021 | 08:11:46 | OEM record c1 | 000000 | 06980a260d66
  35 | 04/26/2021 | 08:11:52 | OEM record c1 | 000000 | 06980a260d66
  36 | 04/26/2021 | 08:12:11 | OEM record c1 | 000000 | 06980a260d66
  37 | 04/26/2021 | 08:13:23 | System Event | OEM System boot event | Asserted
  38 | 04/26/2021 | 08:13:33 | OS Boot #0x22 | boot completed - device not specified | Asserted
  39 | 04/26/2021 | 08:14:39 | Power Unit #0xff | Power off/down | Asserted
  3a | 04/26/2021 | 08:15:01 | OEM record c1 | 000000 | 06980a260d66
  3b | 04/26/2021 | 08:15:08 | OEM record c1 | 000000 | 06980a260d66
  3c | 04/26/2021 | 08:15:14 | OEM record c1 | 000000 | 06980a260d66
  3d | 04/26/2021 | 08:15:34 | OEM record c1 | 000000 | 06980a260d66
  3e | 04/26/2021 | 08:16:45 | System Event | OEM System boot event | Asserted
  3f | 04/26/2021 | 08:16:55 | OS Boot #0x22 | boot completed - device not specified | Asserted
