search_board_type Mt.Jade
Pseudo-terminal will not be allocated because stdin is not a terminal.
   1 | 04/27/2021 | 06:10:18 | Power Supply #0xf8 | Presence detected | Deasserted
   2 | 04/27/2021 | 06:23:39 | Power Supply #0xf8 | Presence detected | Deasserted
   3 | 04/27/2021 | 06:47:37 | OEM record c0 | 00cd3a | cbe570ffffff
   4 | 04/27/2021 | 06:47:54 | OEM record c0 | 00cd3a | cbe57001ffff
   5 | 04/27/2021 | 06:47:54 | OEM record c0 | 00cd3a | ca8f7103ffff
   6 | 04/27/2021 | 06:47:54 | OEM record c0 | 00cd3a | ca8f7114ffff
   7 | 04/27/2021 | 06:47:55 | OEM record c0 | 00cd3a | ca8ff103ffff
   8 | 04/27/2021 | 06:47:55 | OEM record c0 | 00cd3a | ca8ff114ffff
   9 | 04/27/2021 | 06:48:04 | OEM record c0 | 040061 | cae36f00ffff
   a | 04/27/2021 | 06:48:04 | System ACPI Power State #0x7a | S0/G0: working | Asserted
   b | 04/27/2021 | 06:48:14 | OEM record c0 | 00cd3a | 0feb70020000
   c | 04/27/2021 | 06:48:14 | OEM record c0 | 00cd3a | ca8f7103ffff
   d | 04/27/2021 | 06:48:14 | OEM record c0 | 00cd3a | ca8f7114ffff
   e | 04/27/2021 | 06:48:15 | OEM record c0 | 00cd3a | 0feb70120000
   f | 04/27/2021 | 06:48:15 | OEM record c0 | 00cd3a | ca8ff103ffff
  10 | 04/27/2021 | 06:48:15 | OEM record c0 | 00cd3a | ca8ff114ffff
  11 | 04/27/2021 | 06:48:24 | OEM record c0 | 040061 | cae36f00ffff
  12 | 04/27/2021 | 06:48:24 | System Boot Initiated #0xdc | OS initiated hard reset | Asserted
  13 | 04/27/2021 | 06:48:24 | OEM record c0 | 00cd3a | cbe57001ffff
  14 | 04/27/2021 | 06:48:44 | OEM record c0 | 00cd3a | ca8f7103ffff
  15 | 04/27/2021 | 06:48:44 | OEM record c0 | 00cd3a | ca8f7114ffff
  16 | 04/27/2021 | 06:48:45 | OEM record c0 | 00cd3a | ca8ff103ffff
  17 | 04/27/2021 | 06:48:45 | OEM record c0 | 00cd3a | ca8ff114ffff
  18 | 04/27/2021 | 06:48:54 | OEM record c0 | 040061 | cae36f00ffff
  19 | 04/27/2021 | 06:48:54 | System Boot Initiated #0xdc | OS initiated hard reset | Asserted
  1a | 04/27/2021 | 06:48:54 | OEM record c0 | 00cd3a | cbe57001ffff
  1b | 04/27/2021 | 06:48:55 | OEM record c0 | 00cd3a | 0feb70020000
  1c | 04/27/2021 | 06:48:56 | OEM record c0 | 00cd3a | 0feb70120000
  1d | 04/27/2021 | 06:49:39 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  1e | 04/27/2021 | 06:49:39 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  1f | 04/27/2021 | 06:52:15 | OEM record c0 | 00cd3a | cbe570ffffff
  20 | 04/27/2021 | 06:52:32 | OEM record c0 | 00cd3a | ca907101ffff
  21 | 04/27/2021 | 06:52:33 | OEM record c0 | 00cd3a | ca90f101ffff
  22 | 04/27/2021 | 06:52:33 | OEM record c0 | 00cd3a | cbe57001ffff
  23 | 04/27/2021 | 06:52:33 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  24 | 04/27/2021 | 06:52:33 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  25 | 04/27/2021 | 06:52:34 | OEM record c0 | 00cd3a | 0feb70020000
  26 | 04/27/2021 | 06:52:34 | OEM record c0 | 00cd3a | ca8f7101ffff
  27 | 04/27/2021 | 06:52:35 | OEM record c0 | 00cd3a | 0feb70120000
  28 | 04/27/2021 | 06:52:35 | OEM record c0 | 00cd3a | ca8ff101ffff
  29 | 04/27/2021 | 06:52:52 | OEM record c0 | 00cd3a | 0feb70220000
  2a | 04/27/2021 | 06:52:53 | OEM record c0 | 00cd3a | 0feb70320000
  2b | 04/27/2021 | 06:52:55 | OEM record c0 | 00cd3a | 0feb70520000
  2c | 04/27/2021 | 06:52:56 | OEM record c0 | 00cd3a | 0feb70620000
  2d | 04/27/2021 | 06:58:52 | Power Unit #0xe9 | Failure detected | Asserted
  2e | 04/27/2021 | 06:58:52 | Watchdog2 #0xee | Timer expired | Asserted
  2f | 04/27/2021 | 06:59:13 | OEM record c0 | 00cd3a | ca907101ffff
  30 | 04/27/2021 | 06:59:14 | System Boot Initiated #0xdc | OS initiated hard reset | Asserted
  31 | 04/27/2021 | 06:59:14 | OEM record c0 | 00cd3a | cbe57001ffff
  32 | 04/27/2021 | 06:59:14 | OEM record c0 | 00cd3a | 0feb70020000
  33 | 04/27/2021 | 06:59:14 | OEM record c0 | 00cd3a | ca8f7101ffff
  34 | 04/27/2021 | 06:59:14 | OEM record c0 | 00cd3a | ca90f101ffff
  35 | 04/27/2021 | 06:59:15 | OEM record c0 | 00cd3a | 0feb70120000
  36 | 04/27/2021 | 06:59:15 | OEM record c0 | 00cd3a | ca8ff101ffff
  37 | 04/27/2021 | 06:59:33 | OEM record c0 | 00cd3a | 0feb70220000
  38 | 04/27/2021 | 06:59:34 | OEM record c0 | 00cd3a | 0feb70320000
  39 | 04/27/2021 | 06:59:54 | OEM record c0 | 00cd3a | ca907101ffff
  3a | 04/27/2021 | 06:59:54 | OEM record c0 | 00cd3a | cbe57001ffff
  3b | 04/27/2021 | 06:59:55 | System Boot Initiated #0xdc | System Restart | Asserted
  3c | 04/27/2021 | 06:59:55 | OEM record c0 | 00cd3a | 0feb70020000
  3d | 04/27/2021 | 06:59:55 | OEM record c0 | 00cd3a | ca8f7101ffff
  3e | 04/27/2021 | 06:59:55 | OEM record c0 | 00cd3a | ca90f101ffff
  3f | 04/27/2021 | 06:59:56 | OEM record c0 | 00cd3a | 0feb70120000
  40 | 04/27/2021 | 06:59:56 | OEM record c0 | 00cd3a | ca8ff101ffff
  41 | 04/27/2021 | 07:00:14 | OEM record c0 | 00cd3a | 0feb70220000
  42 | 04/27/2021 | 07:00:15 | OEM record c0 | 00cd3a | 0feb70320000
  43 | 04/27/2021 | 07:00:17 | OEM record c0 | 00cd3a | 0feb70520000
  44 | 04/27/2021 | 07:00:18 | OEM record c0 | 00cd3a | 0feb70620000
  45 | 04/27/2021 | 07:00:39 | OEM record c0 | 00cd3a | 0feb70820000
  46 | 04/27/2021 | 07:00:39 | System Firmwares #0xe4 | System boot initiated | Asserted
  47 | 04/27/2021 | 07:20:07 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  48 | 04/27/2021 | 07:20:07 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  49 | 04/27/2021 | 07:20:22 | OEM record c0 | 00cd3a | cbe570ffffff
  4a | 04/27/2021 | 07:20:39 | OEM record c0 | 00cd3a | ca907101ffff
  4b | 04/27/2021 | 07:20:40 | OEM record c0 | 00cd3a | cbe57001ffff
  4c | 04/27/2021 | 07:20:40 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  4d | 04/27/2021 | 07:20:40 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  4e | 04/27/2021 | 07:20:40 | OEM record c0 | 00cd3a | 0feb70020000
  4f | 04/27/2021 | 07:20:40 | OEM record c0 | 00cd3a | ca8f7101ffff
  50 | 04/27/2021 | 07:20:40 | OEM record c0 | 00cd3a | ca90f101ffff
  51 | 04/27/2021 | 07:20:41 | OEM record c0 | 00cd3a | 0feb70120000
  52 | 04/27/2021 | 07:20:41 | OEM record c0 | 00cd3a | ca8ff101ffff
  53 | 04/27/2021 | 07:20:59 | OEM record c0 | 00cd3a | 0feb70220000
  54 | 04/27/2021 | 07:21:00 | OEM record c0 | 00cd3a | 0feb70320000
  55 | 04/27/2021 | 07:21:02 | OEM record c0 | 00cd3a | 0feb70520000
  56 | 04/27/2021 | 07:21:03 | OEM record c0 | 00cd3a | 0feb70620000
  57 | 04/27/2021 | 07:21:26 | OEM record c0 | 00cd3a | 0feb70820000
  58 | 04/27/2021 | 07:21:26 | System Firmwares #0xe4 | System boot initiated | Asserted
