search_board_type Mt.Jade
./sshpass -p root ssh -o StrictHostKeyChecking=no -t root@10.38.172.2 'ipmitool -H 10.38.172.51 -U ADMIN -P ADMIN  sel list'
Pseudo-terminal will not be allocated because stdin is not a terminal.
   1 | 04/27/2021 | 21:40:36 | Version Change | Invalid or unsupported firmware or software version | Asserted
   2 | 04/27/2021 | 22:35:49 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
   3 | 04/27/2021 | 22:35:49 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
   4 | 04/27/2021 | 22:43:58 | OEM record c0 | 00cd3a | ca907105ffff
   5 | 04/27/2021 | 22:43:58 | System ACPI Power State #0x7a | S0/G0: working | Asserted
   6 | 04/27/2021 | 22:43:58 | System ACPI Power State #0x8a | S0/G0: working | Asserted
   7 | 04/27/2021 | 22:43:59 | OEM record c0 | 00cd3a | 0feb70020000
   8 | 04/27/2021 | 22:43:59 | OEM record c0 | 00cd3a | ca8f7101ffff
   9 | 04/27/2021 | 22:43:59 | OEM record c0 | 00cd3a | ca90f105ffff
   a | 04/27/2021 | 22:44:00 | OEM record c0 | 00cd3a | 0feb70120000
   b | 04/27/2021 | 22:44:00 | OEM record c0 | 00cd3a | ca8ff101ffff
