search_board_type Mt.Jade
Pseudo-terminal will not be allocated because stdin is not a terminal.
   1 | 04/27/2021 | 06:10:18 | Power Supply #0xf8 | Presence detected | Deasserted
   2 | 04/27/2021 | 06:23:39 | Power Supply #0xf8 | Presence detected | Deasserted
   3 | 04/27/2021 | 06:47:37 | OEM record c0 | 00cd3a | cbe570ffffff
   4 | 04/27/2021 | 06:47:54 | OEM record c0 | 00cd3a | cbe57001ffff
   5 | 04/27/2021 | 06:47:54 | OEM record c0 | 00cd3a | ca8f7103ffff
   6 | 04/27/2021 | 06:47:54 | OEM record c0 | 00cd3a | ca8f7114ffff
   7 | 04/27/2021 | 06:47:55 | OEM record c0 | 00cd3a | ca8ff103ffff
   8 | 04/27/2021 | 06:47:55 | OEM record c0 | 00cd3a | ca8ff114ffff
   9 | 04/27/2021 | 06:48:04 | OEM record c0 | 040061 | cae36f00ffff
   a | 04/27/2021 | 06:48:04 | System ACPI Power State #0x7a | S0/G0: working | Asserted
   b | 04/27/2021 | 06:48:14 | OEM record c0 | 00cd3a | 0feb70020000
   c | 04/27/2021 | 06:48:14 | OEM record c0 | 00cd3a | ca8f7103ffff
   d | 04/27/2021 | 06:48:14 | OEM record c0 | 00cd3a | ca8f7114ffff
   e | 04/27/2021 | 06:48:15 | OEM record c0 | 00cd3a | 0feb70120000
   f | 04/27/2021 | 06:48:15 | OEM record c0 | 00cd3a | ca8ff103ffff
  10 | 04/27/2021 | 06:48:15 | OEM record c0 | 00cd3a | ca8ff114ffff
  11 | 04/27/2021 | 06:48:24 | OEM record c0 | 040061 | cae36f00ffff
  12 | 04/27/2021 | 06:48:24 | System Boot Initiated #0xdc | OS initiated hard reset | Asserted
  13 | 04/27/2021 | 06:48:24 | OEM record c0 | 00cd3a | cbe57001ffff
  14 | 04/27/2021 | 06:48:44 | OEM record c0 | 00cd3a | ca8f7103ffff
  15 | 04/27/2021 | 06:48:44 | OEM record c0 | 00cd3a | ca8f7114ffff
  16 | 04/27/2021 | 06:48:45 | OEM record c0 | 00cd3a | ca8ff103ffff
  17 | 04/27/2021 | 06:48:45 | OEM record c0 | 00cd3a | ca8ff114ffff
  18 | 04/27/2021 | 06:48:54 | OEM record c0 | 040061 | cae36f00ffff
  19 | 04/27/2021 | 06:48:54 | System Boot Initiated #0xdc | OS initiated hard reset | Asserted
  1a | 04/27/2021 | 06:48:54 | OEM record c0 | 00cd3a | cbe57001ffff
  1b | 04/27/2021 | 06:48:55 | OEM record c0 | 00cd3a | 0feb70020000
  1c | 04/27/2021 | 06:48:56 | OEM record c0 | 00cd3a | 0feb70120000
  1d | 04/27/2021 | 06:49:39 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  1e | 04/27/2021 | 06:49:39 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
